Revs count sea passage	revsCountSeaPassage	0
Load % of MCR	loadOfMCR	
Load indicator	loadIndicator	
Hours ME on 75~80	hoursMEOn75MCRH	% MCR h
Exhaust gas temp (average)	exhaustGasTempAverageDegc	degC
Exhaust gas temp (max)	exhaustGasTempMaxDegc	degC
ME unit with highest exh. Temp	mEUnitWithHighestExhTemp	
T/C (fore) RPM 	tCForeRPMMin	1/min
T/C (aft) RPM 	tCAftRPM1Min	1/min
Scav air temp (receiver) degC	scavAirTempReceiverDegc	degC
Air cooler (fore) diff. pressure 	airCoolerForeDiffPressureMmh	mmH20
FO viscosity at 50	fOViscosityAtDegcCst	cSt
SW Temperature	sWTemperatureDegc	degC
ER temp degC	eRTempDegc	degC
Shaft gen average power 	shaftGenAveragePowerKw	kW
Specific FO consumption  	specificFOConsumptionGKwh	g/kWh
Cyl oil-hi consumption 	cylOilHiConsumptionLtrs	ltrs
Cyl oil-lo consumption 	cylOilLoConsumptionLtrs	ltrs
Circ oil added to sump tank 	circOilAddedToSumpTankLtrs	ltrs
Average Power	aux1AveragePower	kW
AE Circ Oil Top Up	aux1AECircOilTopUp	ltrs
AE Circ Oil Top Replaced	aux1AECircOilTopReplaced	ltrs
Sump Tank LO Purifed For 	aux1SumpTankLOPurifedFor	h
Average Power	aux2AveragePower	kW
AE Circ Oil Top Up	aux2AECircOilTopUp	ltrs
AE Circ Oil Top Replaced	aux2AECircOilTopReplaced	ltrs
Sump Tank LO Purifed For 	aux2SumpTankLOPurifedFor	h
Average Power	aux3AveragePower	kW
AE Circ Oil Top Up	aux3AECircOilTopUp	ltrs
AE Circ Oil Top Replaced	aux3AECircOilTopReplaced	ltrs
Sump Tank LO Purifed For 	aux3SumpTankLOPurifedFor	h
Average Power	aux4AveragePower	kW
AE Circ Oil Top Up	aux4AECircOilTopUp	ltrs
AE Circ Oil Top Replaced	aux4AECircOilTopReplaced	ltrs
Sump Tank LO Purifed For 	aux4SumpTankLOPurifedFor	h
incinerator MDO/MGO-hi	auxilincineratorMDOMGOhi	mt
DG FO spec consumption	AuxildgFOSpecConsumption	g/k Wh
Fresh water produced	AuxilfreshWaterProduced	mt
ME Sump Tank Contents	robMESumpTankContents	ltrs
HFO (In Use) Suphur Content	robHFOInUseSuphurContent	pct
VLSFO (In Use) Suphur Content	robVLSFOInUseSuphurContent	pct
ULSFO (In Use) Suphur Content	robULSFOInUseSuphurContent	pct
MGO (In Use) Suphur Content	robMGOInUseSuphurContent	%
MGO LS (In Use) Suphur Content	robMGOLSInUseSuphurContent	%
Bilge Water	robBilgeWater	cub.m
Stern Tube	loConsumptionSternTube	ltrs
CPP	loConsumptionCPP	ltrs
Reduction Gearbox	loConsumptionReductionGearbox	ltrs
Air Compressors	loConsumptionAirCompressors	ltrs
Bowthruster	loConsumptionBowthruster	ltrs
Hatch Cover	loConsumptionHatchCover	ltrs
Author	comAuthor	
Alarm Codes	comAlarmCodes	
Alarm Comments	comAlarmComments	
Cyl oil-hi	rcvdCylOilHi	ltrs
Cyl oil-lo	rcvdCylOilLo	ltrs
Me circ. Oil	rcvdMeCircOil	ltrs
Ae circ. Oil	rcvdAeCircOil	ltrs
HSFO	rcvdHsfo	mt
ULSFO	rcvdUlsfo	mt
VLSFO	rcvdVlsfo	mt
HSMDO/MGO	rcvdHsmdoMgo	mt
LSMDO/MGO	rcvdLsmdoMgo	mt
FW	rcvdFw	mt
HFO	dischHfo	mt
HFO ULS	dischHfoUls	mt
Bilge water	dischBilgeWater	cub .m
Sludge	dischSludge	cub .m
Garbage	dischGarbage	cub .m
ME T/C 1 temp in	appMeTcOneTempIn	degC
